id,name,anime,genre,debutYear,ageDebut,ageMain,studio,role,gender,race,debutInfo,imageFileName,active
goku,Goku,Dragon Ball,Shonen,1984,Niño,Adulto,Toei Animation,Protagonista,Masculino,Saiyajin,Aparece por primera vez en el capítulo 1 del manga de Dragon Ball.,goku.png,True
vegeta,Vegeta,Dragon Ball,Shonen,1988,Adulto,Adulto,Toei Animation,Deuteragonista,Masculino,Saiyajin,"Príncipe de los saiyajin, aparece como rival y enemigo de Goku antes de unirse a los Guerreros Z.",vegeta.png,True
naruto,Naruto,Naruto,Shonen,1999,Adolescente,Joven,Studio Pierrot,Protagonista,Masculino,Humano,"Debuta en el capítulo 1 del manga, como el ninja problemático de la aldea.",naruto.png,True
luffy,Luffy,One Piece,Shonen,1997,Adolescente,Joven,Toei Animation,Protagonista,Masculino,Humano,"Lo vemos por primera vez en el capítulo 1 del manga, dentro de un barril.",luffy.png,True
ichigo,Ichigo,Bleach,Shonen,2001,Adolescente,Adolescente,Studio Pierrot,Protagonista,Masculino,Humano,Ichigo Kurosaki debuta como un estudiante que puede ver espíritus y obtiene poderes de shinigami.,ichigo.png,True
edward_elric,Edward Elric,Fullmetal Alchemist,Shonen,2001,Adolescente,Adolescente,Bones,Protagonista,Masculino,Humano,El joven alquimista estatal que busca recuperar el cuerpo de su hermano tras un fallo en una transmutación prohibida.,edward_elric.png,True
tanjiro,Tanjiro,Kimetsu no Yaiba,Shonen,2016,Adolescente,Adolescente,Ufotable,Protagonista,Masculino,Humano,Tanjiro Kamado debuta como un chico que pierde a su familia y decide convertirse en cazador de demonios.,tanjiro.png,True
deku,Deku,My Hero Academia,Shonen,2014,Adolescente,Adolescente,Bones,Protagonista,Masculino,Humano,"Izuku Midoriya, un chico sin poderes en un mundo de héroes, hereda el One For All.",deku.png,True
light_yagami,Light Yagami,Death Note,Otros,2003,Adolescente,Joven,Madhouse,Protagonista,Masculino,Humano,Estudiante ejemplar que encuentra un cuaderno con el poder de matar a quien tenga su nombre escrito.,light_yagami.png,True
lelouch,Lelouch,Code Geass,Otros,2006,Adolescente,Adolescente,Sunrise,Protagonista,Masculino,Humano,Príncipe exiliado que obtiene el poder del Geass y lidera una rebelión usando el alias Zero.,lelouch.png,True
